,x1,x2,x3,x4,x5,x6,x7,x8,x9,Target
x1,0.0000,0.0305,0.0061,0.0037,0.0116,0.0307,0.0139,0.0231,0.0028,0.0106
x2,0.0305,0.0000,0.0158,0.0277,0.0261,0.0231,0.0251,0.0213,0.0782,0.0467
x3,0.0061,0.0158,0.0000,0.0121,0.0356,0.0312,0.0491,0.0451,0.0002,0.0992
x4,0.0037,0.0277,0.0121,0.0000,0.0347,0.0263,0.0482,0.0255,0.0070,0.0585
x5,0.0116,0.0261,0.0356,0.0347,0.0000,0.2954,0.8335,0.3204,0.0062,0.2331
x6,0.0307,0.0231,0.0312,0.0263,0.2954,0.0000,0.2955,0.4695,0.0068,0.1562
x7,0.0139,0.0251,0.0491,0.0482,0.8335,0.2955,0.0000,0.3632,0.0049,0.2964
x8,0.0231,0.0213,0.0451,0.0255,0.3204,0.4695,0.3632,0.0000,0.0052,0.2226
x9,0.0028,0.0782,0.0002,0.0070,0.0062,0.0068,0.0049,0.0052,0.0000,0.0071
Target,0.0106,0.0467,0.0992,0.0585,0.2331,0.1562,0.2964,0.2226,0.0071,0.0000
