,x1,x2,x3,x4,x5,x6,x7,x8,x9,Target
x1,0.0000,0.0303,0.0040,0.0047,0.0123,0.0329,0.0133,0.0275,0.0043,0.0137
x2,0.0303,0.0000,0.0287,0.0399,0.0393,0.0347,0.0303,0.0319,0.1790,0.0709
x3,0.0040,0.0287,0.0000,0.0164,0.0455,0.0325,0.0606,0.0465,0.0053,0.1325
x4,0.0047,0.0399,0.0164,0.0000,0.0412,0.0242,0.0471,0.0284,0.0078,0.0709
x5,0.0123,0.0393,0.0455,0.0412,0.0000,0.2708,0.7843,0.3063,0.0047,0.2760
x6,0.0329,0.0347,0.0325,0.0242,0.2708,0.0000,0.2685,0.4284,0.0068,0.1794
x7,0.0133,0.0303,0.0606,0.0471,0.7843,0.2685,0.0000,0.3398,0.0026,0.3355
x8,0.0275,0.0319,0.0465,0.0284,0.3063,0.4284,0.3398,0.0000,0.0058,0.2500
x9,0.0043,0.1790,0.0053,0.0078,0.0047,0.0068,0.0026,0.0058,0.0000,0.0089
Target,0.0137,0.0709,0.1325,0.0709,0.2760,0.1794,0.3355,0.2500,0.0089,0.0000
